180000,0.4164,26.6749
180000,0.4581,28.1355
180000,0.4382,26.9566
180000,0.4582,26.227
360000,1.0121,39.2946
360000,1.0359,35.0583
360000,1.0199,26.1052
360000,0.9587,26.0204
540000,1.681,27.0422
540000,1.5124,27.9886
540000,1.7142,26.8427
540000,1.5073,26.1872
720000,1.9923,26.7329
720000,1.9749,28.1564
720000,2.0113,26.7005
720000,2.0976,27.8558
900000,2.4691,27.5448
900000,2.6132,26.3065
900000,2.5753,28.1702
900000,2.7552,25.815
1080000,3.1407,27.3292
1080000,3.1783,27.7433
1080000,3.2091,28.7258
1080000,3.1558,26.9146
1260000,3.8835,32.8952
1260000,4.1593,27.3479
1260000,3.722,27.1176
1260000,3.7093,30.223
1440000,8.0962,34.9643
1440000,3.9484,25.7509
1440000,4.3533,31.5371
1440000,4.1557,28.0227
1620000,4.7326,26.2723
1620000,5.4094,28.9913
1620000,4.7631,26.1186
1620000,5.074,25.888
1800000,6.5567,27.7213
1800000,5.302,26.7194
1800000,5.2325,26.3325
1800000,5.5759,26.9058
1980000,8.6516,28.0291
1980000,5.5766,26.9974
1980000,6.0726,27.5074
1980000,5.6159,25.7475
2160000,6.8673,25.9386
2160000,6.4308,27.3091
2160000,6.5592,26.0039
2160000,7.4297,31.9037
2340000,6.9702,26.6725
2340000,7.6394,27.1339
2340000,6.9767,25.9466
2340000,7.3,29.1306
2520000,7.8817,26.6702
2520000,7.5442,25.9759
2520000,7.3815,26.3108
2520000,7.2096,25.574
2700000,8.0926,25.972
2700000,10.5305,38.8068
2700000,7.8397,27.7869
2700000,7.8108,26.0213
2880000,8.7855,25.9039
2880000,8.574,26.0842
2880000,8.8901,26.8096
2880000,8.681,26.6581
3060000,9.1075,25.61
3060000,9.0649,27.7406
3060000,9.4909,27.1369
3060000,8.6198,30.8672
3240000,9.9131,25.7561
3240000,9.7345,26.0139
3240000,9.3562,26.8642
3240000,9.652,26.4582
3420000,9.5697,26.4558
3420000,10.3158,26.4672
3420000,10.8923,27.0737
3420000,10.2941,33.2157
3600000,11.0582,25.914
3600000,15.4254,27.1196
3600000,11.1596,25.975
3600000,10.8583,26.955
3780000,11.5652,27.6529
3780000,11.4328,26.0643
3780000,11.435,26.3368
3780000,11.159,26.5718
3960000,23.4647,27.2679
3960000,13.6916,27.7738
3960000,11.7616,27.3956
3960000,12.0498,28.6247
4140000,12.5195,26.7553
4140000,12.2379,26.6025
4140000,11.9699,26.1956
4140000,13.7101,25.7805
4320000,12.3354,25.9645
4320000,13.1169,26.9612
4320000,12.5072,26.9398
4320000,21.8537,49.3173
4500000,13.9535,27.149
4500000,14.4526,28.0194
4500000,13.5421,26.3511
4500000,13.4538,26.4023
4680000,14.3023,25.7502
4680000,14.1132,26.5183
4680000,14.1729,27.2853
4680000,14.0389,26.4938
4860000,13.9833,25.8809
4860000,14.5435,29.3727
4860000,14.7801,25.8111
4860000,15.5983,27.6893
5040000,15.9765,27.7119
5040000,15.2556,27.3925
5040000,14.993,26.4916
5040000,15.272,26.2499
5220000,15.717,26.6973
5220000,16.0479,45.8346
5220000,16.3174,26.7011
5220000,16.8916,27.3148
5400000,17.0002,27.0801
5400000,16.4957,27.2288
5400000,15.9394,25.2109
5400000,16.1844,25.3915
5580000,16.5557,27.8493
5580000,17.0554,28.2302
5580000,16.2615,27.4613
5580000,17.1768,25.6078
5760000,17.747,26.7969
5760000,17.3201,27.1365
5760000,18.753,41.4033
5760000,17.9762,26.0648
5940000,20.4249,30.827
5940000,18.2773,27.9705
5940000,18.7476,27.6686
5940000,17.3873,25.4863
6120000,18.5656,26.5798
6120000,41.5675,43.0479
6120000,18.0647,25.8286
6120000,18.5595,25.8129
6300000,18.5516,26.5106
6300000,19.3787,26.5019
6300000,19.9374,27.7967
6300000,20.4204,28.9362
6480000,29.5017,29.918
6480000,19.1153,25.9732
6480000,18.6873,26.3125
6480000,19.9891,27.9581
6660000,19.7698,26.2724
6660000,21.6162,28.5883
6660000,25.5837,27.9077
6660000,20.6352,26.1103
6840000,20.0833,25.8523
6840000,20.5782,29.735
6840000,20.7397,27.5023
6840000,20.5766,28.4519
7020000,23.541,28.3453
7020000,21.2253,26.7149
7020000,21.4908,28.5289
7020000,39.0284,40.0209
7200000,21.4851,25.0896
7200000,22.1723,27.9677
7200000,23.9415,29.141
7200000,21.2461,26.6997
7380000,48.3082,44.8995
7380000,22.7675,26.363
7380000,22.2804,29.3605
7380000,22.3316,26.2841
7560000,22.9172,27.2403
7560000,24.7207,29.9678
7560000,24.081,27.575
7560000,22.2795,25.9043
7740000,39.1612,29.3714
7740000,26.2935,27.2676
7740000,24.4995,36.1771
7740000,23.2559,27.2302
7920000,24.4643,29.1631
7920000,24.026,27.071
7920000,24.3146,27.4451
7920000,27.5277,28.8344
8100000,43.1356,28.3245
8100000,24.1823,27.2197
8100000,26.44,27.5576
8100000,24.9773,26.0928
8280000,25.0277,27.357
8280000,25.4131,26.1966
8280000,24.0174,26.4006
8280000,24.6534,26.0652
8460000,26.2072,26.7172
8460000,25.4297,25.569
8460000,24.6398,27.6943
8460000,25.7703,26.2012
8640000,26.7305,42.0987
8640000,26.9259,27.1221
8640000,27.0334,27.5055
8640000,26.9068,27.5454
8820000,27.5421,25.938
8820000,29.4059,26.6989
8820000,26.1677,27.4002
8820000,28.7828,27.6712
9000000,28.3431,27.3916
9000000,26.2098,27.2651
9000000,27.2659,26.8908
9000000,33.5903,64.1067
