2,123.744,0.398239,228.056,83.862
4,43.4849,0.159548,80.0029,130.319
6,15.2902,0.074436,28.0952,178.491
8,5.37845,0.0345187,9.87103,250.381
10,1.89279,0.0107127,3.46911,274.225
12,0.666827,0.00547408,1.21959,350.353
14,0.235601,0.00366372,0.429015,381.303
16,0.0840662,0.00259005,0.151081,460.418
18,0.0312405,0.00188088,0.053324,473.805
20,0.0135268,0.00139844,0.0189271,519.079
22,0.00807031,0.001062,0.00683913,571.848
24,0.00623367,0.000850566,0.0026358,653.315
26,0.00528793,0.000702274,0.00123018,666.664
28,0.00461804,0.000583473,0.000771321,708.498
30,0.0040884,0.000488194,0.00058554,818.763
32,0.00365432,0.000411458,0.000476423,808.936
34,0.00329215,0.00035294,0.000397738,878.85
36,0.00298609,0.000310512,0.000336834,917.918
38,0.00272465,0.000273825,0.000288361,937.114
40,0.00249923,0.000242165,0.000249145,1031.17
42,0.00230325,0.000214839,0.000217014,1065.32
44,0.0021316,0.000191221,0.0001904,1148.33
46,0.00198026,0.00017169,0.00016814,1177.34
48,0.001846,0.000156526,0.00014936,1241.03
50,0.00172626,0.000142888,0.00013339,1292.89
52,0.00161892,0.000130634,0.000119713,1286.74
54,0.00152225,0.000119625,0.00010792,1362.62
56,0.00143484,0.000109731,9.76922e-05,1408.35
58,0.00135548,0.000100829,8.87714e-05,1495.99
60,0.00128318,9.31571e-05,8.09505e-05,1527.47
62,0.00121708,8.68652e-05,7.40613e-05,1514.95
64,0.00115647,8.10639e-05,6.79657e-05,1626.52
66,0.00110073,7.57172e-05,6.255e-05,1671.58
68,0.00104932,7.07898e-05,5.77196e-05,1717.7
70,0.0010018,6.62477e-05,5.33958e-05,1796.17
72,0.000957755,6.20592e-05,4.95122e-05,1780.64
74,0.000916847,5.81944e-05,4.60128e-05,1884.87
76,0.000878771,5.47832e-05,4.28501e-05,1941.28
78,0.000843259,5.18666e-05,3.99836e-05,1964.62
80,0.000810076,4.91313e-05,3.73785e-05,2045.62
82,0.000779013,4.65665e-05,3.5005e-05,2063.02
84,0.000749887,4.41615e-05,3.28372e-05,2145.5
86,0.000722531,4.19061e-05,3.08529e-05,2655.95
88,0.000696799,3.97904e-05,2.90324e-05,2468.02
90,0.000672558,3.78052e-05,2.73589e-05,2321.01
92,0.000649692,3.59417e-05,2.58173e-05,2296.03
94,0.000628092,3.42729e-05,2.43947e-05,2334.49
96,0.000607664,3.27994e-05,2.30794e-05,2407.63
98,0.000588319,3.14005e-05,2.18614e-05,2467.79
100,0.000569979,3.00725e-05,2.07314e-05,2576.53
